region_name,feature_subset,feature_dim,model_name,config_name,horizon_month,objective,comparison_design,sample_weight_mode,model_seed,source_dataset,selected_config_json,threshold_csv,n_train,train_negative,train_positive,n_test,test_negative,test_positive,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bootstrap_type,param_subsample,positive_rate,threshold,pred_positive_rate,acc,precision,recall,f1,auc,pr_auc,brier,tn,fp,fn,tp,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_gamma,full_config_name,full_acc,full_precision,full_recall,full_f1,full_auc,full_pr_auc,full_brier,full_pred_positive_rate,delta_acc_only_minus_full,retained_fraction_acc,delta_precision_only_minus_full,retained_fraction_precision,delta_recall_only_minus_full,retained_fraction_recall,delta_f1_only_minus_full,retained_fraction_f1,delta_auc_only_minus_full,retained_fraction_auc,delta_pr_auc_only_minus_full,retained_fraction_pr_auc,delta_brier_only_minus_full,delta_pred_positive_rate_only_minus_full
all,annual_only,15,CatBoost,cat_cfg1_depth5_lr002,1,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,910142,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_1m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1238365,1196758,41607,9095,8777,318,800.0,5.0,0.02,10.0,1.0,Bernoulli,0.85,0.03496426608026388,0.13,0.05002748763056625,0.9271028037383178,0.12087912087912088,0.17295597484276728,0.1423027166882277,0.8080739898376474,0.10681456176137707,0.03272095817274455,8377,400,263,55,,,,,,,,,,,,cat_cfg1_depth5_lr002,0.9454645409565696,0.1821428571428571,0.160377358490566,0.1705685618729097,0.8135890474173854,0.1285018101002047,0.032324006530708,0.0307861462341946,-0.01836173721825185,0.980579137108966,-0.061263736263736226,0.6636500754147814,0.012578616352201283,1.0784313725490198,-0.028265845184682004,0.8342845547015703,-0.005515057579737914,0.9932213227338241,-0.021687248338827625,0.8312300167451643,0.0003969516420365485,0.019241341396371646
all,annual_only,15,ExtraTrees,et_cfg0_depth12_leaf5,1,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,920142,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_1m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1238365,1196758,41607,9095,8777,318,,,,,,,,0.03496426608026388,0.12,0.06608026388125343,0.9174271577789994,0.13976705490848584,0.2641509433962264,0.18280739934711643,0.8098981901668383,0.1183220682716056,0.0321995669792231,8260,517,234,84,500.0,12.0,10.0,5.0,sqrt,False,,,,,,et_cfg0_depth12_leaf5,0.9218251786695988,0.1617900172117039,0.2955974842767295,0.2091212458286985,0.8161737044290287,0.1331358213116875,0.0319265870026155,0.0638812534359538,-0.0043980208905993745,0.9952290076335877,-0.02202296230321807,0.8638793500194712,-0.03144654088050308,0.8936170212765959,-0.02631384648158208,0.8741694256013708,-0.006275514262190418,0.992311055565579,-0.014813753040081895,0.8887320264814301,0.00027297997660759993,0.0021990104452996317
all,annual_only,15,XGBoost,xgb_cfg4_strong_reg,1,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,930142,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_1m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1238365,1196758,41607,9095,8777,318,,,0.03,,,,0.9,0.03496426608026388,0.13,0.022759758108851016,0.9473336998350742,0.1111111111111111,0.07232704402515723,0.08761904761904764,0.7527045028350972,0.09453913043698914,0.03312845228704605,8593,184,295,23,500.0,3.0,,,,,0.9,8.0,0.8,5.0,0.2,xgb_cfg4_strong_reg,0.9461242440901594,0.1692307692307692,0.1383647798742138,0.1522491349480968,0.8006886925017717,0.1248547692284669,0.0323288757694658,0.0285871357888949,0.0012094557449148224,1.001278326554329,-0.05811965811965811,0.6565656565656566,-0.06603773584905658,0.5227272727272728,-0.06463008732904917,0.575497835497836,-0.047984189666674504,0.9400713534285757,-0.030315638791477764,0.7571927850348724,0.0007995765175802527,-0.005827377680043884
all,annual_only,15,CatBoost,cat_cfg1_depth5_lr002,3,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,910342,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_3m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1233180,1124601,108579,9095,8272,823,800.0,5.0,0.02,10.0,1.0,Bernoulli,0.85,0.09048927982407916,0.18,0.10907091808686091,0.8589334799340297,0.26814516129032256,0.32320777642770354,0.29311294765840223,0.7930687723124579,0.22471549024399273,0.07741829849584063,7546,726,557,266,,,,,,,,,,,,cat_cfg1_depth5_lr002,0.8575041231445849,0.290893015030946,0.3997569866342649,0.3367451381780962,0.811683296473956,0.2700716611638938,0.0739462272856931,0.1243540406816932,0.00142935678944478,1.001666880369278,-0.022747853740623436,0.9217999313658203,-0.07654921020656136,0.8085106382978724,-0.04363219051969397,0.8704296348396929,-0.018614524161498114,0.9770667645344413,-0.04535617091990107,0.8320587553524301,0.0034720712101475315,-0.01528312259483229
all,annual_only,15,ExtraTrees,et_cfg0_depth12_leaf5,3,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,920342,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_3m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1233180,1124601,108579,9095,8272,823,,,,,,,,0.09048927982407916,0.18,0.1621770203408466,0.8436503573391974,0.29694915254237286,0.5321992709599028,0.381201044386423,0.8148442035201685,0.27291263823318823,0.07235279689640148,7235,1037,385,438,500.0,12.0,10.0,5.0,sqrt,False,,,,,,et_cfg0_depth12_leaf5,0.8558548653106103,0.3137404580152672,0.4993924665856622,0.3853727144866385,0.8194325790674775,0.2977947868271378,0.0718404090083363,0.1440351841671248,-0.012204507971412926,0.9857399794450153,-0.016791305472894313,0.9464802672275144,0.032806804374240606,1.0656934306569343,-0.004171670100215519,0.9891749728421415,-0.004588375547308954,0.994400545371859,-0.02488214859394955,0.9164453184051439,0.00051238788806518,0.01814183617372181
all,annual_only,15,XGBoost,xgb_cfg4_strong_reg,3,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,930342,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_3m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1233180,1124601,108579,9095,8272,823,,,0.03,,,,0.9,0.09048927982407916,0.14,0.12270478284771853,0.8503573391973612,0.2589605734767025,0.3511543134872418,0.29809179989685397,0.7777927441473497,0.2260313058101702,0.07727380670117757,7445,827,534,289,500.0,3.0,,,,,0.9,8.0,0.8,5.0,0.2,xgb_cfg4_strong_reg,0.8489279824079164,0.2875867386276021,0.4532199270959903,0.3518867924528302,0.8041472968875958,0.2637830650723957,0.0746640726102495,0.14260582737768,0.00142935678944478,1.0016837197254242,-0.028626165150899607,0.9004607608559871,-0.1020656136087485,0.774798927613941,-0.05379499255597625,0.8471241498409254,-0.026354552740246118,0.9672267097803476,-0.03775175926222549,0.8568833095791633,0.002609734090928073,-0.019901044529961456
all,annual_only,15,CatBoost,cat_cfg1_depth5_lr002,6,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,910642,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_6m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1225360,1035867,189493,9095,7697,1398,800.0,5.0,0.02,10.0,1.0,Bernoulli,0.85,0.1537108301264431,0.27,0.15854865310610225,0.8297965915338098,0.44798890429958393,0.46208869814020026,0.45492957746478874,0.8061090817576958,0.3803028335024336,0.11110774530961018,6901,796,752,646,,,,,,,,,,,,cat_cfg1_depth5_lr002,0.8288070368334249,0.4499685336689742,0.5114449213161659,0.4787412119183127,0.82208747513802,0.4186056238228322,0.1075128041263294,0.1747113798790544,0.0009895547003848648,1.0011939506500398,-0.001979629369390279,0.9956005159888656,-0.04935622317596566,0.9034965034965035,-0.023811634453523967,0.9502619915295971,-0.01597839338032425,0.9805636335991597,-0.03830279032039857,0.9084991023995187,0.0035949411832807837,-0.016162726772952163
all,annual_only,15,ExtraTrees,et_cfg0_depth12_leaf5,6,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,920642,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_6m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1225360,1035867,189493,9095,7697,1398,,,,,,,,0.1537108301264431,0.23,0.22924683892248487,0.805277625068719,0.4105515587529976,0.6123032904148784,0.49153028997990245,0.8156105819798992,0.413358631968893,0.10650589037927531,6468,1229,542,856,500.0,12.0,10.0,5.0,sqrt,False,,,,,,et_cfg0_depth12_leaf5,0.8251786695986806,0.4461883408071749,0.5693848354792561,0.5003142677561282,0.8222022477590529,0.4348267130364049,0.1059076416347786,0.1961517317207256,-0.019901044529961553,0.9758827448367754,-0.03563678205417731,0.9201306291650097,0.0429184549356223,1.0753768844221105,-0.008783977776225749,0.9824430795955086,-0.00659166577915371,0.9919829144263232,-0.021468081067511913,0.9506284217968123,0.00059824874449671,0.03309510720175929
all,annual_only,15,XGBoost,xgb_cfg4_strong_reg,6,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,930642,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_6m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1225360,1035867,189493,9095,7697,1398,,,0.03,,,,0.9,0.1537108301264431,0.22,0.15272127542605826,0.8180318856514568,0.40748740100791936,0.40486409155937053,0.40617151058485823,0.7815792917107403,0.3573690485039276,0.11581977082102059,6874,823,832,566,500.0,3.0,,,,,0.9,8.0,0.8,5.0,0.2,xgb_cfg4_strong_reg,0.8241891148982957,0.4398563734290844,0.5257510729613734,0.4789833822091886,0.8126056767746496,0.4155148156259344,0.1083455318138812,0.1837273227047828,-0.0061572292468389245,0.9925293489861259,-0.03236897242116504,0.9264101320873921,-0.12088698140200282,0.7700680272108844,-0.0728118716243304,0.8479866435271632,-0.031026385063909312,0.9618186459303883,-0.05814576712200681,0.8600633119798252,0.007474239007139394,-0.031006047278724524
all,annual_only,15,CatBoost,cat_cfg1_depth5_lr002,12,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,911242,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_12m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1209975,902429,307546,9095,6846,2249,800.0,5.0,0.02,10.0,1.0,Bernoulli,0.85,0.24727872457394173,0.29,0.23210555250137438,0.7811984606926883,0.5613453339649456,0.52690084481992,0.5435779816513762,0.7954537070197201,0.5364702587217339,0.1505049015069935,5920,926,1064,1185,,,,,,,,,,,,cat_cfg1_depth5_lr002,0.7992303463441451,0.5923177651680489,0.6033792796798577,0.5977973568281938,0.8266771468658061,0.5783268116297006,0.1395964371201922,0.2518966465090709,-0.018031885651456858,0.9774384371990645,-0.030972431203103334,0.9477097716386811,-0.07647843485993777,0.873249815770081,-0.05421937517681763,0.909301413668846,-0.031223439846086,0.9622301886964411,-0.04185655290796664,0.9276247407758658,0.010908464386801292,-0.01979109400769652
